timestamps,X,Y,Z,IR,RED
31.0284,-0.164133,-0.094076,0.964784,123933,101090
31.0752,-0.169137,-0.094076,0.95978,124022,101073
31.122,-0.178145,-0.091074,0.945768,123854,101101
31.1688,-0.18515,-0.095077,0.95978,123894,101119
31.2156,-0.177144,-0.092075,0.952774,123948,101188
31.2624,-0.177144,-0.092075,0.957778,124171,101295
31.3092,-0.168137,-0.092075,0.95978,124473,101308
31.356,-0.163133,-0.088072,0.962782,124876,101523
31.4028,-0.170138,-0.087071,0.986802,124940,101539
31.4496,-0.171139,-0.093076,0.960781,125042,101468
31.4964,-0.169137,-0.093076,0.964784,124085,100997
31.5432,-0.173141,-0.090073,0.967786,123268,100834
31.59,-0.171139,-0.087071,0.968787,123225,100901
31.6368,-0.176143,-0.08607,0.97279,123395,100960
31.6836,-0.170138,-0.091074,0.945768,123551,100928
31.7304,-0.153124,-0.083067,0.974792,123653,100952
31.7772,-0.165134,-0.089072,0.952774,123764,100993
31.824,-0.169137,-0.096078,0.961781,123703,101032
31.8708,-0.159129,-0.090073,0.954776,123797,101105
31.9176,-0.167136,-0.092075,0.942766,124019,101130
31.9644,-0.166135,-0.088072,0.966785,124143,101232
32.0112,-0.176143,-0.090073,0.95978,124319,101321
32.058,-0.174141,-0.089072,0.95978,124460,101349
32.1048,-0.164133,-0.089072,0.966785,124521,101370
32.1516,-0.163133,-0.094076,0.965785,124641,101384
32.1984,-0.168137,-0.096078,0.945768,124374,101021
32.2452,-0.173141,-0.096078,0.948771,123428,100747
32.292,-0.167136,-0.091074,0.967786,123361,100833
32.3388,-0.167136,-0.089072,0.969788,123345,100896
32.3856,-0.161131,-0.08607,0.968787,123495,100945
32.4324,-0.171139,-0.088072,0.965785,123529,100928
32.4792,-0.178145,-0.097079,0.948771,123463,100936
32.526,-0.170138,-0.089072,0.945768,123519,100946
32.5728,-0.177144,-0.089072,0.966785,123642,101003
32.6196,-0.18415,-0.096078,0.945768,123788,101082
32.6664,-0.171139,-0.087071,0.953775,123985,101146
32.7132,-0.175142,-0.095077,0.955777,124112,101187
32.76,-0.166135,-0.085069,0.960781,124438,101237
32.8068,-0.167136,-0.089072,0.964784,124526,101127
32.8536,-0.17214,-0.094076,0.954776,123577,100830
32.9004,-0.183149,-0.092075,0.952774,122996,100713
32.9472,-0.173141,-0.089072,0.958779,122961,100750
32.994,-0.171139,-0.091074,0.944768,123157,100719
33.0408,-0.171139,-0.094076,0.941765,123251,100755
33.0876,-0.165134,-0.093076,0.956777,123294,100840
33.1344,-0.174141,-0.089072,0.93576,123374,100898
33.1812,-0.177144,-0.093076,0.958779,123343,100871
33.228,-0.164133,-0.087071,0.966785,123477,100895
33.2748,-0.17214,-0.092075,0.937762,123602,100985
33.3216,-0.168137,-0.088072,0.957778,123751,101052
33.3684,-0.169137,-0.090073,0.955777,123934,101095
33.4152,-0.171139,-0.088072,0.950773,124028,101073
33.462,-0.157128,-0.09808,0.94777,124068,101140
33.5088,-0.152124,-0.089072,0.958779,124131,101176
33.5556,-0.153124,-0.084068,0.962782,124255,101171
33.6024,-0.162132,-0.087071,0.956777,123737,100822
33.6492,-0.168137,-0.092075,0.964784,122953,100599
33.696,-0.169137,-0.092075,0.965785,122996,100716
33.7428,-0.173141,-0.089072,0.973791,123067,100779
33.7896,-0.168137,-0.088072,0.9848,123168,100762
33.8364,-0.162132,-0.096078,0.955777,123231,100823
33.8832,-0.167136,-0.087071,0.957778,123207,100810
33.93,-0.161131,-0.08607,0.952774,123209,100815
33.9768,-0.177144,-0.091074,0.94777,123323,100886
34.0236,-0.165134,-0.090073,0.957778,123484,100926
34.0704,-0.157128,-0.094076,0.963783,123627,100979
34.1172,-0.161131,-0.084068,0.964784,123774,101035
34.164,-0.166135,-0.088072,0.961781,124097,101076
34.2108,-0.169137,-0.100081,0.954776,124221,101218
34.2576,-0.164133,-0.095077,0.978795,124095,100950
34.3044,-0.17214,-0.088072,0.975793,123155,100579
34.3512,-0.164133,-0.094076,0.963783,122701,100545
34.398,-0.165134,-0.094076,0.954776,122742,100613
34.4448,-0.164133,-0.083067,0.977794,122922,100628
34.4916,-0.166135,-0.08607,0.963783,123016,100674
34.5384,-0.179146,-0.085069,0.936761,123093,100752
34.5852,-0.177144,-0.095077,0.963783,123137,100726
34.632,-0.157128,-0.092075,0.958779,123184,100798
34.6788,-0.161131,-0.089072,0.957778,123373,100873
34.7256,-0.156127,-0.084068,0.981798,123542,100984
34.7724,-0.161131,-0.087071,0.970789,123714,101024
34.8192,-0.14712,-0.088072,1.007819,123780,101054
34.866,-0.159129,-0.093076,0.989804,123917,101052
34.9128,-0.180146,-0.099081,0.975793,123992,101050
34.9596,-0.181147,-0.094076,0.939764,124053,101093
35.0064,-0.156127,-0.084068,0.979796,124175,101219
35.0532,-0.16013,-0.081066,0.960781,124192,100909
35.1,-0.170138,-0.089072,0.963783,122685,100522
35.1468,-0.161131,-0.089072,0.962782,122836,100569
35.1936,-0.178145,-0.096078,0.954776,122930,100600
35.2404,-0.17214,-0.094076,0.949772,122911,100675
35.2872,-0.181147,-0.096078,0.955777,123030,100749
35.334,-0.162132,-0.08607,0.99681,123093,100711
