timestamps,IR,RED
42.822,125136,101250
42.8688,123879,100778
42.9156,123239,100773
42.9624,123321,100829
43.0092,123530,100851
43.056,123855,100990
43.1028,123799,100988
43.1496,123779,100968
43.1964,123779,101007
43.2432,123969,101059
43.29,124256,101144
43.3368,124384,101256
43.3836,124576,101301
43.4304,124679,101351
43.4772,124835,101407
43.524,123439,100735
43.5708,123232,100751
43.6176,123367,100808
43.6644,123468,100868
43.7112,123581,100944
43.758,123792,100993
43.8048,123825,100954
43.8516,123771,100951
43.8984,123773,100982
43.9452,123879,101088
43.992,124486,101260
44.0388,124602,101318
44.0856,124776,101364
44.1324,124922,101341
44.1792,124996,101460
44.226,124687,101040
44.2728,123475,100731
44.3196,123178,100693
44.3664,123307,100737
44.4132,123484,100808
44.46,123755,100886
44.5068,123654,100903
44.5536,123682,100913
44.6004,123762,100958
44.6472,123942,101002
44.694,124157,101089
44.7408,124361,101202
44.7876,124530,101285
44.8344,124616,101269
44.8812,124687,101318
44.928,124571,100970
44.9748,123410,100672
45.0216,123213,100618
45.0684,123336,100699
45.1152,123430,100811
45.162,123480,100852
45.2088,123622,100922
45.2556,123755,100931
45.3024,123720,100870
45.3492,123769,100898
45.396,124193,101168
45.4428,124420,101169
45.4896,124565,101251
45.5364,124633,101289
45.5832,124748,101331
45.63,124875,101391
45.6768,124973,101157
45.7236,123872,100730
45.7704,123200,100618
45.8172,123209,100713
45.864,123534,100833
45.9108,123643,100894
45.9576,123694,100857
46.0044,123666,100873
46.0512,123649,100897
46.098,123761,100977
46.1448,123990,101070
46.1916,124251,101180
46.2384,124414,101219
46.2852,124527,101246
46.332,124842,101287
46.3788,124205,100860
46.4256,123244,100631
46.4724,123129,100690
46.5192,123241,100764
46.566,123391,100804
46.6128,123513,100806
46.6596,123679,100856
46.7064,123691,100885
46.7532,123627,100890
46.8,124028,101085
46.8468,124271,101150
46.8936,124444,101198
46.9404,124558,101225
46.9872,124700,101204
47.034,124816,101252
47.0808,124864,101143
47.1276,123724,100674
47.1744,123135,100564
47.2212,123077,100629
47.268,123392,100793
47.3148,123542,100803
47.3616,123589,100807
47.4084,123539,100832
47.4552,123609,100890
47.502,123817,100985
47.5488,124037,101047
47.5956,124233,101160
47.6424,124401,101194
47.6892,124497,101222
47.736,124780,101326
47.7828,124661,100905
47.8296,123447,100609
47.8764,122997,100567
47.9232,123092,100637
47.97,123278,100733
48.0168,123352,100767
48.0636,123479,100825
48.1104,123568,100815
48.1572,123528,100785
48.204,123776,100934
48.2508,123992,101037
48.2976,124216,101097
48.3444,124392,101175
48.3912,124503,101210
48.438,124599,101191
48.4848,124739,101246
48.5316,124868,101307
48.5784,124346,100755
48.6252,123203,100593
48.672,123318,100729
48.7188,123405,100758
48.7656,123583,100818
48.8124,123615,100741
48.8592,123582,100739
48.906,123619,100825
48.9528,123720,100936
48.9996,123930,100963
49.0464,124180,101000
49.0932,124321,101050
49.14,124629,101206
49.1868,124500,100836
49.2336,123414,100516
49.2804,123017,100522
49.3272,123049,100593
49.374,123245,100662
49.4208,123344,100726
49.4676,123529,100731
49.5144,123602,100727
49.5612,123509,100800
49.608,123840,100959
49.6548,124093,101018
49.7016,124275,101119
49.7484,124399,101098
49.7952,124537,101126
49.842,124660,101199
49.8888,124643,100994
49.9356,123562,100593
49.9824,122995,100483
50.0292,122987,100564
50.076,123265,100653
50.1228,123441,100719
50.1696,123412,100705
50.2164,123392,100713
50.2632,123481,100767
50.31,123615,100847
50.3568,123817,100896
50.4036,124040,100971
50.4504,124188,101064
50.4972,124353,101096
50.544,124614,101207
50.5908,124730,101123
50.6376,123854,100631
50.6844,122990,100495
50.7312,122940,100501
50.778,123075,100627
50.8248,123206,100643
50.8716,123339,100624
50.9184,123478,100714
50.9652,123433,100698
51.012,123585,100799
51.0588,123800,100916
51.1056,124070,100964
51.1524,124255,101002
51.1992,124423,101092
51.246,124473,101145
51.2928,124609,101199
51.3396,124786,101226
51.3864,124871,101094
51.4332,123699,100592
51.48,123054,100561
51.5268,123252,100625
51.5736,123327,100689
51.6204,123537,100722
51.6672,123603,100674
51.714,123524,100755
