time(second),IR,RED,,,,,,,,,
8.52,216844,229396,,,,,,,,,
8.54,216898,229421,,,,,,,,,
8.56,216998,229485,,,,,,,,,
8.58,216897,229565,,,,,,,,,
8.6,217069,229553,,,,,,,,,
8.62,216857,229601,,,,,,,,,
8.64,216950,229653,,,,,,,,,
8.66,217104,229683,,,,,,,,,
8.68,216903,229763,,,,,,,,,
8.7,216984,229754,,,,,,,,,
8.72,217164,229827,,,,,,,,,
8.74,216959,229910,,,,,,,,,
8.76,217061,229901,,,,,,,,,
8.78,217215,229981,,,,,,,,,
8.8,217057,230058,,,,,,,,,
8.82,217103,230209,,,,,,,,,
8.84,217290,230112,,,,,,,,,
8.86,217171,230199,,,,,,,,,
8.88,217162,230357,,,,,,,,,
8.9,217328,230251,,,,,,,,,
8.92,217235,230365,,,,,,,,,
8.94,217200,230475,,,,,,,,,
8.96,217344,230277,,,,,,,,,
8.98,217167,230110,,,,,,,,,
9,217074,230023,,,,,,,,,
9.02,217153,229716,,,,,,,,,
9.04,216931,229583,,,,,,,,,
9.06,216898,229521,,,,,,,,,
9.08,216988,229310,,,,,,,,,
9.1,216858,229199,,,,,,,,,
9.12,216765,229206,,,,,,,,,
9.14,216896,228950,,,,,,,,,
9.16,216748,228923,,,,,,,,,
9.18,216718,228902,,,,,,,,,
9.2,216748,228894,,,,,,,,,
9.22,216708,228931,,,,,,,,,
9.24,216759,228938,,,,,,,,,
9.26,216719,228946,,,,,,,,,
9.28,216762,228938,,,,,,,,,
9.3,216709,228904,,,,,,,,,
9.32,216724,228907,,,,,,,,,
9.34,216710,228943,,,,,,,,,
9.36,216755,228901,,,,,,,,,
9.38,216634,229083,,,,,,,,,
9.4,216848,229004,,,,,,,,,
9.42,216687,229006,,,,,,,,,
9.44,216752,229046,,,,,,,,,
9.46,216671,229145,,,,,,,,,
9.48,216776,229150,,,,,,,,,
9.5,216775,229186,,,,,,,,,
9.52,216779,229318,,,,,,,,,
9.54,216930,229253,,,,,,,,,
9.56,216781,229307,,,,,,,,,
9.58,216792,229292,,,,,,,,,
9.6,216954,229373,,,,,,,,,
9.62,216781,229451,,,,,,,,,
9.64,216860,229432,,,,,,,,,
9.66,217017,229506,,,,,,,,,
